phone_num,rst_name,score_p0,score_p1,score_p2,michelin_dummy,if_new,not_new,p2-p0,p1-p0
03-3270-8188,タパス モラキュラーバー,3.77,3.69,3.69,1.0,0.0,1.0,-0.08,-0.08
03-3568-6055,赤坂 菊乃井,4.03,3.98,3.96,1.0,0.0,1.0,-0.0700000000000002,-0.0500000000000002
03-6417-9250,レストラン ラッセ,3.86,3.82,3.81,1.0,0.0,1.0,-0.0499999999999998,-0.04
050-5594-9682,メゾン ポール・ボキューズ,3.81,3.78,3.78,1.0,0.0,1.0,-0.0300000000000002,-0.0300000000000002
03-6434-8711,アジュール フォーティーファイブ,3.98,3.95,3.62,1.0,0.0,1.0,-0.3599999999999999,-0.0299999999999998
050-5593-4925,アロセリア ラ パンサ,3.64,3.62,3.63,1.0,0.0,1.0,-0.0100000000000002,-0.02
03-5619-1892,焼鳥\u3000おみ乃,4.23,4.22,4.09,1.0,0.0,1.0,-0.1400000000000005,-0.0100000000000006
03-5537-5580,エスキス,4.44,4.43,4.33,1.0,0.0,1.0,-0.1100000000000003,-0.0100000000000006
03-5847-9600,ASAHINA Gastronome,4.03,4.02,4.09,1.0,0.0,1.0,0.0599999999999996,-0.0100000000000006
050-5597-2422,レガーロ,3.7,3.69,3.71,1.0,0.0,1.0,0.0099999999999997,-0.0100000000000002
03-6434-7080,ル スプートニク,3.89,3.88,3.88,1.0,0.0,1.0,-0.0100000000000002,-0.0100000000000002
03-5858-9713,リンシエメ,3.68,3.67,3.68,1.0,0.0,1.0,0.0,-0.0100000000000002
03-6274-8987,遊猿,3.72,3.71,3.72,1.0,0.0,1.0,0.0,-0.0100000000000002
03-6215-9544,銀座 小十,3.87,3.86,3.88,1.0,0.0,1.0,0.0099999999999997,-0.0100000000000002
03-3831-4209,とん八亭,3.77,3.76,3.77,1.0,0.0,1.0,0.0,-0.0100000000000002
03-6690-0893,宍道湖しじみ中華蕎麦 琥珀,3.97,3.96,3.95,1.0,1.0,0.0,-0.02,-0.0100000000000002
050-3503-1323,赤坂 きた福,3.95,3.94,3.99,1.0,0.0,1.0,0.04,-0.0100000000000002
03-3428-8437,八昌,3.7,3.69,3.7,1.0,0.0,1.0,0.0,-0.0100000000000002
03-6228-4293,つきじ 文化人,3.74,3.73,3.73,1.0,0.0,1.0,-0.0100000000000002,-0.0100000000000002
03-6630-0007,龍吟,3.93,3.92,3.91,1.0,0.0,1.0,-0.02,-0.0100000000000002
03-3951-1278,秋田料理 五城目,3.52,3.51,3.52,1.0,0.0,1.0,0.0,-0.0100000000000002
03-6458-3664,ラーメン屋 トイ・ボックス,3.85,3.84,3.83,1.0,0.0,1.0,-0.02,-0.0100000000000002
050-5590-1398,クラフタル,3.93,3.92,3.9,1.0,0.0,1.0,-0.0300000000000002,-0.0100000000000002
050-5456-5001,フランス料理 エステール,3.37,3.36,3.39,1.0,1.0,0.0,0.02,-0.0100000000000002
03-5315-4733,SOBA HOUSE 金色不如帰 新宿御苑本店,3.91,3.9,3.91,1.0,0.0,1.0,0.0,-0.0100000000000002
050-5596-6139,銀座 八五,3.86,3.85,3.85,1.0,0.0,1.0,-0.0099999999999997,-0.0099999999999997
03-6453-7256,麻布十番 ふくだ,4.34,4.33,4.23,1.0,0.0,1.0,-0.1099999999999994,-0.0099999999999997
03-3690-8228,吟八亭 やざ和,3.86,3.85,3.85,1.0,0.0,1.0,-0.0099999999999997,-0.0099999999999997
03-5577-2879,カレー&オリエンタルバル 桃の実 水道橋店,3.88,3.87,3.84,1.0,1.0,0.0,-0.04,-0.0099999999999997
03-6435-3241,ビストロ コティディアン,3.69,3.68,3.69,1.0,0.0,1.0,0.0,-0.0099999999999997
050-5597-8641,ロス・レイエス・マーゴス,3.65,3.64,3.64,1.0,0.0,1.0,-0.0099999999999997,-0.0099999999999997
03-3359-5595,ろっかん,3.53,3.52,3.53,1.0,1.0,0.0,0.0,-0.0099999999999997
